id,ocr_text,ocr_word_count,ocr_char_count,has_digits,exclamation_count,question_count,view_count,log_views_per_day
-0P2pi8i-cI,yz e | Za st 1” güm yg it le ove If 7 N N > ue ig,16,66,1,0,0,3450061,8.116887
-2BLGQ1Zci8,lınla | ug Priaset HER SEY HAKKINDA HİÇBİR ŞEY yay ll el GULNIHAL OZER,15,76,0,0,0,78853,3.104334
-3DvuLtuf1U,"AYNA DÜNYALAR et ahahaha oe ae Lm —— ee ae Ti ME et at ee eo"" meena | 12 eN wel tae e+ 1 Sy i i! ‘- Abd rit et ¢g a",30,133,1,1,0,2335353,6.75645
-4RdNSFynvo,EVREN TANIMININ awe DEĞİŞTİĞİ Ry. Ve AN 25 A,11,50,1,0,0,1744393,6.932746
-4Vufms0r3U,Film ve Animasyon Otomobiller ve Araçlar Müzik Ev Hayvanları ve Hayvanlar Spor Seyahat ve Etkinlikler Oyun — if Kişiler ve Bloglar Komedi Eğlence pa ( Haberler ve Politika Nasıl Yapılır ve Stil m. a Bilim ve Teknoloji i4 Kâr Amacı Gütmeyen Kuruluşlar ve Aktivizm -G > KANALIMIN KATEGORİSİ NEDEN EĞİTİM?,50,326,1,0,1,336502,4.689365
-6Pfo0p28to,ey Artemis WA ya Gidiyor! J ET,7,33,0,1,0,101530,6.602214
-98iqLJYXdo,ÇİNLİLER AY'IN KARANLIK YÜZÜNE ROVER GÖNDERDİ! — ee eye wow et ca A a a Bige SS Les na! a az —- > 5 Za — ——,24,121,1,2,0,1304266,6.142008
-9rVZZV8kQA,Paulo Coelho SİMYACI —— = dl if eg i PA ET Cl wf PAULO COELHO,14,71,0,0,0,407102,4.674012
-BvS6PZbCws,MAMUTLARIN = DÜ) ÖNÜŞÜ ‘a 7) 221 p: ¢ =,7,44,1,0,0,3385797,7.871535
-C2gSCLp9Sk,h oh A — = Mia ma TEKERLEĞİ */ “A YENİDEN İCAT EDEBİLİR MİYİZ?,17,71,0,0,1,639502,5.832353
-EN7g6c7U_4,Ad HI Uni! YUH!,4,18,0,2,0,1090187,6.169396
-WSQEyT2Mu0,pe. Saki at ys tgp Re) Cho: Cone eer co m e,12,48,0,0,0,1198588,6.791401
-ZPHKf-8T6I,"GEÇMİŞ BUGUN (Canlı & Renkli) (Soluk & Gri) —< 88, ~~ 2 KN fyi atl mis Ke. BU BIR TESADÜF DE GIL!",19,110,1,1,0,1129944,8.567231
-k49ykDKi68,BAŞARILI OLMAK İÇİN ÖĞRENMEMİZ GEREKEN EN ÖNEMLİ KELİME,12,55,0,0,0,2437951,6.67395
-scY0Dwio3Y,# a =} \ | E Ye S,4,24,0,0,0,244877,6.389169
-ykpyhb_QPo,SS o me >-* MURPHY KANUNLARINI YANLIŞ MI ANLADIK?,8,52,0,0,1,2082454,6.42771
01ghGqxKtJU,ae | 7 SN Ad ie a A gi “ fa Jip VA Lhe 7 if. 000 orno = BU cB fours İÇBİR Z AMA —< ee GSI aa OKUYAMAVA SR,29,128,1,0,0,2413297,7.297784
056_ytYysPU,— = ‘EERE y | | im SU Zann | | t | | | gz it ian a dön | i a iia =| ul ib i 1 DE i es. NE vi ES i BUR ; EKİ ENKLERİ G m ay i a a =,34,167,1,0,0,531543,6.589135
