id,title,upload_date,duration_seconds,duration_bucket,title_chars,title_words,view_count,like_count,thumbnail_url,caption_source,has_turkish_subtitles
f8wQj7zbspE,Japonya'da hiçbir şey göründüğü gibi değil (1. Bölüm),,4565,10m+,53,8,599690,18975,https://i.ytimg.com/vi_webp/f8wQj7zbspE/maxresdefault.webp,automatic,True
Xn51Ujzrx68,Truva Atı'nın içinde ne vardı? The Odyssey Film Analizi,,1337,10m+,55,9,425363,13423,https://i.ytimg.com/vi_webp/Xn51Ujzrx68/maxresdefault.webp,automatic,True
9dMSKvFMLm4,Senin Mavin Benimkiyle Aynı mı?,,985,10m+,31,5,203618,8318,https://i.ytimg.com/vi_webp/9dMSKvFMLm4/maxresdefault.webp,automatic,True
hvGpiZlPoIE,Sisin İçinde Bir Şey Yaşıyor!,,1154,10m+,29,5,147327,5806,https://i.ytimg.com/vi_webp/hvGpiZlPoIE/maxresdefault.webp,automatic,True
s4I_3carH04,Her Yıl 123.000 Kelime Daha Az Konuşuyoruz!,,1021,10m+,43,8,123823,5745,https://i.ytimg.com/vi_webp/s4I_3carH04/maxresdefault.webp,automatic,True
8bYUa4U8r6s,Backrooms Efsanesi,,778,10m+,18,2,451227,21338,https://i.ytimg.com/vi_webp/8bYUa4U8r6s/maxresdefault.webp,automatic,True
wJWta2lO0Lw,Sadece Wi-Fi modemle görüntüleme yapılabiliyor!,,1165,10m+,47,6,485729,13742,https://i.ytimg.com/vi_webp/wJWta2lO0Lw/maxresdefault.webp,automatic,True
2LJUae_KbCo,Tatildeki 10 Gün Hayatınızın En Uzun Süresi Olabilir!,,1445,10m+,53,8,234299,7571,https://i.ytimg.com/vi_webp/2LJUae_KbCo/maxresdefault.webp,automatic,True
lV2koa9-1dk,Sen mi Yapay Zeka Kullanıyorsun? Yoksa O mu Seni?,,1592,10m+,49,9,338572,11615,https://i.ytimg.com/vi_webp/lV2koa9-1dk/maxresdefault.webp,automatic,True
e9SEsdHlt2o,Pentagon yeni UFO dosyalarını açtı!,,1787,10m+,35,5,651474,15797,https://i.ytimg.com/vi/e9SEsdHlt2o/maxresdefault.jpg,automatic,True
