id,title,upload_date,caption_source,duration_seconds,word_count,sentence_count,words_per_sentence,syllables_per_word,atesman_readability,readability_label,msttr_500,question_marks_per_1k,exclamation_marks_per_1k,profanity_per_1k,intro_word_count,intro_question_marks,intro_hook_type,intro_curiosity_per_1k,outro_word_count,outro_cta_per_1k,view_count,log_views_per_day,curiosity_per_1k,uncertainty_per_1k,analogy_per_1k,emphasis_per_1k,story_per_1k,direct_address_per_1k,first_person_per_1k,call_to_action_per_1k
TtiZ8t8d6NA,Afrika'da Safari,20101120,automatic,45,5,5,1.0,2.6,91.76,çok_kolay,0.6,0.0,0.0,0.0,10,0,statement,0.0,10,0.0,479717,4.435568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0PEJ_neMN4,"Apple Watch, but don't taste",20140913,manual,219,398,29,13.724138,2.80402,50.3535,orta,0.698492,12.562814,12.562814,0.0,165,1,question,0.0,167,0.0,204599,3.869891,2.512563,0.0,10.050251,10.050251,17.58794,2.512563,7.537688,0.0
tWYY2j3cCeE,"Hikayede duygu, Wall-e, robotlar ve kalbe dokunmak",20140918,manual,201,280,11,25.454545,2.485714,32.5251,zor,0.757143,21.428571,10.714286,0.0,182,5,question,10.989011,69,0.0,276552,4.166925,10.714286,3.571429,0.0,0.0,35.714286,7.142857,0.0,0.0
KDPt6JglMH0,"iPhone 6 mı, iPhone 6 Plus mı almalıyım?",20140920,automatic,253,540,1,540.0,2.405556,0.0,çok_zor,0.7675,0.0,0.0,0.0,186,0,surprising_claim,5.376344,202,0.0,437182,4.61962,5.555556,1.851852,7.407407,0.0,0.0,25.925926,20.37037,7.407407
gt4QhJluSaA,2025'teki 5 teknolojik gelişme,20150512,manual,258,501,23,21.782609,2.662675,34.9994,zor,0.838,5.988024,0.0,0.0,195,3,question,0.0,182,0.0,765470,5.230488,0.0,7.984032,3.992016,7.984032,15.968064,13.972056,15.968064,9.98004
13Ck4tQzucQ,Az çoktan fazladır,20150517,automatic,259,480,5,96.0,2.5875,0.0,çok_zor,0.691667,0.0,0.0,0.0,179,0,question,5.586592,166,6.024096,415044,4.624093,4.166667,2.083333,4.166667,4.166667,4.166667,6.25,29.166667,2.083333
wuJsXmpigg8,Sürücüsüz arabalar İstanbul trafiğinde ne yapar?,20150524,automatic,295,595,56,10.625,2.709244,62.2499,orta,0.744526,13.445378,0.0,0.0,191,3,question,20.942408,190,5.263158,86138,3.090068,10.084034,0.0,6.722689,5.042017,1.680672,18.487395,18.487395,5.042017
MdMDS31Mul4,Ex Machina ya da Makineler Düşünebilir mi?,20150531,manual,503,923,85,10.858824,2.540628,68.4137,orta,0.688246,23.83532,0.0,0.0,157,3,question,6.369427,149,0.0,398317,4.586743,6.500542,0.0,7.583965,8.667389,4.333694,6.500542,21.668472,2.166847
2PCD2z0NAFE,Premiere Pro Eğitimi 07 - Klipleri zaman çizgisine taşımak,20150605,automatic,156,203,1,203.0,2.945813,0.0,çok_zor,0.758621,0.0,0.0,0.0,129,0,surprising_claim,0.0,107,9.345794,46421,2.512748,0.0,0.0,14.778325,9.852217,14.778325,0.0,9.852217,4.926108
8YQQRnlfHWE,Premiere Pro Eğitimi 16 - Zaman çizgisindeki klipleri ikiye bölmek,20150605,manual,131,209,6,34.833333,2.760766,0.0,çok_zor,0.645933,0.0,0.0,0.0,158,0,surprising_claim,0.0,147,0.0,26417,2.008565,0.0,0.0,14.354067,0.0,0.0,0.0,0.0,0.0
9JFY01TFWCo,Premiere Pro Eğitimi 02 - Premiere Pro proje dosyasını oluşturmak,20150605,manual,140,182,3,60.666667,3.17033,0.0,çok_zor,0.725275,0.0,5.494505,0.0,117,0,story,0.0,125,8.0,138776,3.552413,0.0,0.0,0.0,5.494505,16.483516,0.0,5.494505,16.483516
Cd6zPur3S0Y,Premiere Pro Eğitimi 12 - Video düzenleme iş akışı,20150605,automatic,127,215,1,215.0,2.716279,0.0,çok_zor,0.665116,0.0,0.0,0.0,160,0,surprising_claim,0.0,160,0.0,39468,2.364663,0.0,0.0,4.651163,0.0,9.302326,0.0,0.0,0.0
FMsiO6zW23I,Premiere Pro Eğitimi 14 - Zaman çizgisinde klipleri taşımak ve takas etmek,20150605,automatic,233,387,1,387.0,2.677003,0.0,çok_zor,0.679587,0.0,0.0,0.0,168,0,story,0.0,143,0.0,29113,2.093238,0.0,0.0,23.255814,5.167959,7.751938,2.583979,15.503876,7.751938
HDQSTz2MmqU,Premiere Pro Eğitimi 03 - Malzemeleri Premiere Pro'nun içine aktarmak,20150605,automatic,200,297,1,297.0,2.952862,0.0,çok_zor,0.747475,0.0,0.0,0.0,133,0,statement,0.0,143,41.958042,94017,3.176577,3.367003,0.0,3.367003,0.0,3.367003,3.367003,16.835017,23.569024
