id,title,upload_date,year_band,performance_group,log_views_per_day,visible_text_verbatim,main_subject,face_count,dominant_object_or_scene,foreground_background_layout,text_position,contrast_level,color_palette,emotional_impression,thumbnail_hook_type,interpretation
T7aDau5nXpg,Bu keman çöplerden yapıldı!,20220626,2019-2022,low,5.001912,TEPSİ SANDIK PARÇALARI ÇATAL KUTUSU,object,1,A person holding a violin-like instrument with labels pointing to its parts,split,center,high,neutral,curiosity,object,"The thumbnail is designed to intrigue viewers by highlighting the parts of a musical instrument, possibly for educational or instructional purposes."
YjCUt-pWdQU,5 KİTAP 5 SORU,20200319,2019-2022,low,5.198259,5 KİTAP 5 SORU,person,1,a person giving thumbs up and down,split,right,high,warm,curiosity,number,"The thumbnail is designed to intrigue viewers with the promise of five books and five questions, likely related to a discussion or review."
L_Gqpg0q1xs,Nasıl Avrupa Şampiyonu olduk? Ritmik Cimnastik Milli Takımımızın Başarı Hikayesi,20201220,2019-2022,low,5.219051,Nasıl Avrupa Şampiyonu olduk?,person,13,A man wearing headphones and a group of people on a video call,split,bottom,high,neutral,curiosity,question,"The thumbnail suggests a discussion or interview about a team's achievement in becoming European champions, possibly related to sports or a similar competitive field."
Pn4kPaqGcEA,Dijital Vücut Dilinin 4 Yasası 😉,20210912,2019-2022,low,5.233209,Dijital vücut dilinin,person,2,A man in a blue shirt and another man in a plaid shirt with speech bubbles,split,bottom,high,cool,curiosity,claim,"The thumbnail is designed to intrigue viewers about the concept of digital body language, using a split-screen format to juxtapose the two men and their speech bubbles."
kKqpiFir8ug,Çizgi romandan otomobil tasarımına,20220417,2019-2022,low,5.248062,ÇİZGİ ROMANLAR,person,1,A person holding a comic book with a car and Superman on the pages.,split,top,high,mixed,curiosity,object,"The thumbnail is designed to intrigue viewers with a mix of automotive and comic book elements, suggesting a crossover or comparison between the two."
L9ETeZ4rb9I,"Dünyanın en büyük ""Yıldız Savaşları"" buluşmasına katıldık!",20220605,2019-2022,low,5.336299,EN UZUN VLOG!,person,3,a group of people taking a selfie in front of a colorful mural,split,left,high,cool,joy,claim,"The thumbnail is designed to attract viewers by promising a long vlog, likely featuring a family or group of friends enjoying a fun outing."
n1ybNDk9NUo,Neden tişörtlerimin veritabanı var?,20220612,2019-2022,low,5.349709,KAÇ TİSÖRT?,person,1,"a person wearing a white t-shirt with a logo, standing in front of a rack of t-shirts",split,left,high,cool,curiosity,question,The thumbnail is designed to prompt curiosity about the number of t-shirts being discussed or featured.
HTFTvfin5Es,Yürüyelim Arkadaşlar!,20190519,2019-2022,low,5.357648,YÜRÜYELİM ARKADAŞLAR!,person,1,"a person wearing glasses and a beard, standing in front of a green forest",split,left,high,cool,curiosity,claim,"The thumbnail is designed to prompt viewers to join a hiking activity, with a focus on the natural environment and a friendly, inviting tone."
gVAIv6Uk910,Neden 3 Adım? Sosyal Mesafe Simülasyonları,20200510,2019-2022,low,5.372401,NEDEN 3 ADIM?,person,0,Three silhouetted figures standing on a circular platform with text labels around them.,split,top,high,neutral,curiosity,question,"The thumbnail is designed to intrigue viewers by posing a question about a three-step process, likely related to personal development or a specific challenge."
1iMmenHFdCE,"Yapay zeka GauGAN, çizimleri tabloya dönüştürmeyi öğrendi!",20190320,2019-2022,low,5.443578,ANIELOMEK,landscape,0,a waterfall and surrounding landscape,split,bottom,high,cool,curiosity,mystery,"The thumbnail suggests a comparison or transformation between a digital drawing and a real photograph of a waterfall, possibly hinting at a mystery or challenge related to the image."
VRAVXdUvAkU,İlk 8K Vlog - Güney Kore 3.Bölüm: Gelenekten Geleceğe,20191215,2019-2022,low,5.454641,İLK 8K VLOG Güney Kore 3 Bölüm,landscape,0,A traditional Korean pagoda surrounded by autumn trees,split,top,high,warm,curiosity,number,The thumbnail aims to attract viewers with its high-definition quality and cultural focus.
4nHjhfWap4k,Seattle'ın Uçan Dairesi,20210819,2019-2022,low,5.472554,SEATTLE'IN UÇAN DAİRESİ,person,1,"a person wearing a mask and a cap, overlooking a cityscape with the Space Needle in the background",split,bottom,high,neutral,curiosity,claim,"The thumbnail suggests an intriguing claim about Seattle, possibly related to a flying disc or UFO, which might pique the viewer's curiosity."
O5xG_ocTzBw,2021’de OSCAR’ı hangi film almalı?,20210425,2019-2022,low,5.47855,"2021'DE ARADAN' HANGİ FİLM ALMALI? OSU NATİONWIDE - 2021'DE ARADAN KONU AÇIK""",mixed,1,"a person with a beard and glasses, a movie poster for 'Minari', and a scene from 'Nomadland'",split,bottom,high,cool,curiosity,question,"The thumbnail is designed to prompt viewers to think about which film to watch in 2021, using scenes from 'Nomadland' and 'Minari' as examples."
85lCYvfaGtg,KUANTUM ÜSTÜNLÜĞÜ - Yeni bir çağın başlangıcı mı?,20191027,2019-2022,middle,6.311244,KUANTUM ÜSTÜNLÜĞÜ,object,0,A golden quantum computing device with intricate wiring,split,left,high,warm,curiosity,claim,"The thumbnail highlights the advanced technology of quantum computing, suggesting a focus on its superiority and complexity."
cl8JNLBaJvw,Game of Thrones'daki Starbucks Bardağı,20190512,2019-2022,middle,6.316189,GAME OF THRONES'DAKİ STARBUCKS BARDAĞI,person,1,Daenerys Targaryen from Game of Thrones with a Starbucks cup,collage,left,high,neutral,curiosity,object,"The thumbnail suggests a humorous or unexpected juxtaposition of Daenerys Targaryen from Game of Thrones with a Starbucks cup, likely aiming to spark curiosity or humor."
kWYlB5ktwzQ,AHA! Etkisi,20211219,2019-2022,middle,6.322706,AHA!,person,1,A person pointing upwards with a surprised expression,split,top,high,warm,curiosity,claim,"The thumbnail suggests a revelation or surprising discovery, likely related to the content of the video."
osqXCKxXQS0,Elon Musk iki roketle dünyaya nasıl meydan okudu?,20210131,2019-2022,middle,6.326805,ELON MUSK iki roketin çuban okunur! BOKE MAN!,person,1,a person holding rocket-like objects,split,bottom,high,cool,curiosity,claim,"The thumbnail suggests a discussion or demonstration involving Elon Musk and rockets, possibly related to a claim or fact about them."
5MJvo0UV924,En sevdiğiniz renk neden MAVİ?,20220703,2019-2022,middle,6.337969,EN SEVDİĞİNİZ RENK NEDEN MUHTEMEL,object,0,A row of colorful crayons with a blue arrow pointing upwards,split,left,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers by asking them about their favorite color and its significance, using a visually appealing arrangement of crayons and a clear question."
nw1CukUm7pY,Beyninizi çiple ikiye ayırmak ister miydiniz?,20220327,2019-2022,middle,6.342989,BEYNİ ÇİPLE İKİYE AYIRAN DİZİ,person,2,A man in a suit holding a small object,split,top,high,neutral,curiosity,mystery,"The thumbnail is designed to intrigue viewers with the concept of a show about splitting a brain, using a mysterious and slightly unsettling image."
ttrhQvlrt_o,HER ŞEY HER YERDE AYNI ANDA,20220724,2019-2022,middle,6.357648,BU FILM YENİ MATRİX? EVERYTHING EVERYWHERE ALL AT ONCE,person,1,a person holding a bagel,split,left|right,high,warm,curiosity,question,"The thumbnail is designed to prompt curiosity about the connection between the person and the Matrix film series, possibly suggesting a parallel or crossover."
zx-qvEq3XkY,"TWITTER X - Elon Musk, Twitter'ı “HER ŞEY UYGULAMASI”na dönüştürebilir mi?",20221016,2019-2022,middle,6.357819,TWITTER X,person,1,a person in a suit with Twitter and X logos in the background,split,top,high,neutral,curiosity,transformation,"The thumbnail suggests a transformation or rebranding of Twitter to X, possibly involving a notable individual."
Cq33iTwbkic,Ne dersen çizen yapay zeka çıktı! DALL-E,20210110,2019-2022,middle,6.362754,SALYANGOZ BURGER? NE DEFSEN YAPAN YAPAR ZEKATII,person,1,a person presenting a burger with a snail on it,split,left|right,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with an unusual and humorous concept, prompting them to watch the video to learn more."
